04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:17:35 +0000] 10.87.193.123 arn:aws:iam::581309990414:user/kdangoor A8D564A65CF23207 REST.GET.LOCATION - "GET /repository.brackets.io?location HTTP/1.1" 200 - 108 - 43 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 3F292FD5DAFBFBCE REST.DELETE.OBJECT com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.614.zip "DELETE /repository.brackets.io/com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.614.zip HTTP/1.1" 204 - - 8972 165 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 415BD5FAA27ED625 REST.GET.BUCKET - "GET /repository.brackets.io?prefix=com.adrocknaphobia.inlineimage/&max-keys=1000 HTTP/1.1" 200 - 6204 - 112 110 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 4E158CCDCA690C14 REST.DELETE.OBJECT com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.6.zip "DELETE /repository.brackets.io/com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.6.zip HTTP/1.1" 204 - - 8819 75 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 5BD3D51B768A0A64 REST.GET.BUCKET - "GET /repository.brackets.io?prefix=bogus-top-dir/&max-keys=1000 HTTP/1.1" 200 - 621 - 152 151 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 6044EA308B963B2A REST.GET.BUCKET - "GET /repository.brackets.io?prefix=basic-valid-extension/&max-keys=1000 HTTP/1.1" 200 - 645 - 109 109 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 8922B32748A7E03E REST.DELETE.OBJECT com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.700.zip "DELETE /repository.brackets.io/com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.700.zip HTTP/1.1" 204 - - 8985 27 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 907911BE85EC2AE1 REST.DELETE.OBJECT com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.715.zip "DELETE /repository.brackets.io/com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.715.zip HTTP/1.1" 204 - - 8981 76 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 9353EF59A9D7563E REST.DELETE.OBJECT com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.611.zip "DELETE /repository.brackets.io/com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.611.zip HTTP/1.1" 204 - - 8966 99 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor ABFF77C5D8173E2A REST.DELETE.OBJECT gruehle-hover-preview/gruehle-hover-preview-0.4.0.zip "DELETE /repository.brackets.io/gruehle-hover-preview/gruehle-hover-preview-0.4.0.zip HTTP/1.1" 204 - - 1526105 32 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:22 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor C4ADC112E3E9E946 REST.DELETE.OBJECT com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.61.zip "DELETE /repository.brackets.io/com.adrocknaphobia.inlineimage/com.adrocknaphobia.inlineimage-1.0.61.zip HTTP/1.1" 204 - - 8957 52 - "-" "S3Console/0.4" -
